Basic Regression Results,,,,
,(1),(2),(3),(4)
,Flexsum,Flexsum,Flexsum,Flexsum
tp,0.1961***,0.0290**,0.0487***,0.0229*
,(0.0069),(0.0128),(0.0062),(0.0132)
taxburden,-0.0023*,-0.0021**,-0.0023**,-0.0019***
,(0.0014),(0.0008),(0.0010),(0.0007)
r2_a,,0.2456,,0.4309
Standard errors in parentheses,,,,
"=""* p<0.1", ** p<0.05," *** p<0.01""",,
