="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="",="(0.0734)",="",="(0.0912)"
="贵州省 # date=2020",="",="-0.1214*",="",="-0.0650"
="",="",="(0.0697)",="",="(0.0903)"
="贵州省 # date=2021",="",="-0.1725**",="",="-0.1308"
="",="",="(0.0768)",="",="(0.0965)"
="贵州省 # date=2022",="",="-0.1339",="",="-0.1246"
="",="",="(0.0923)",="",="(0.0955)"
="贵州省 # date=2023",="",="-0.1487",="",="-0.1078"
="",="",="(0.0957)",="",="(0.1283)"
="辽宁省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="辽宁省 # date=2016",="",="-0.0687",="",="-0.0540"
="",="",="(0.0430)",="",="(0.0481)"
="辽宁省 # date=2017",="",="-0.1390**",="",="-0.1241***"
="",="",="(0.0551)",="",="(0.0470)"
="辽宁省 # date=2018",="",="-0.0656",="",="-0.0686"
="",="",="(0.0678)",="",="(0.0627)"
="辽宁省 # date=2019",="",="-0.0722",="",="-0.0941*"
="",="",="(0.0671)",="",="(0.0544)"
="辽宁省 # date=2020",="",="-0.1181*",="",="-0.0893"
="",="",="(0.0620)",="",="(0.0612)"
="辽宁省 # date=2021",="",="-0.1523**",="",="-0.1272*"
="",="",="(0.0661)",="",="(0.0656)"
="辽宁省 # date=2022",="",="-0.0852",="",="-0.0761"
="",="",="(0.0769)",="",="(0.0711)"
="辽宁省 # date=2023",="",="-0.1323*",="",="-0.0895"
="",="",="(0.0729)",="",="(0.0667)"
="重庆 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="重庆 # date=2016",="",="-0.0915",="",="-0.0510"
="",="",="(0.0728)",="",="(0.0796)"
="重庆 # date=2017",="",="-0.0768",="",="-0.0428"
="",="",="(0.0801)",="",="(0.0801)"
="重庆 # date=2018",="",="-0.0927",="",="-0.0645"
="",="",="(0.0629)",="",="(0.0702)"
="重庆 # date=2019",="",="-0.1104",="",="-0.1326*"
="",="",="(0.0714)",="",="(0.0778)"
="重庆 # date=2020",="",="-0.0684",="",="-0.1840**"
="",="",="(0.0905)",="",="(0.0878)"
="重庆 # date=2021",="",="-0.1297*",="",="-0.2304***"
="",="",="(0.0678)",="",="(0.0860)"
="重庆 # date=2022",="",="-0.1013",="",="-0.1760*"
="",="",="(0.0751)",="",="(0.1061)"
="重庆 # date=2023",="",="-0.0689",="",="-0.1642*"
="",="",="(0.0736)",="",="(0.0943)"
="陕西省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="陕西省 # date=2016",="",="0.0135",="",="-0.0446"
="",="",="(0.0648)",="",="(0.0813)"
="陕西省 # date=2017",="",="-0.0133",="",="-0.0416"
="",="",="(0.0668)",="",="(0.0652)"
="陕西省 # date=2018",="",="-0.0159",="",="-0.0533"
="",="",="(0.0824)",="",="(0.0832)"
="陕西省 # date=2019",="",="0.0183",="",="-0.0343"
="",="",="(0.0860)",="",="(0.0890)"
="陕西省 # date=2020",="",="-0.0304",="",="-0.0919"
="",="",="(0.0924)",="",="(0.0877)"
="陕西省 # date=2021",="",="-0.0768",="",="-0.1792*"
="",="",="(0.0985)",="",="(0.0944)"
="陕西省 # date=2022",="",="-0.1796",="",="-0.2179**"
="",="",="(0.1259)",="",="(0.1099)"
="陕西省 # date=2023",="",="-0.1153",="",="-0.1629"
="",="",="(0.1147)",="",="(0.1121)"
="青海省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="青海省 # date=2016",="",="-0.1313***",="",="-0.0548"
="",="",="(0.0414)",="",="(0.0397)"
="青海省 # date=2017",="",="-0.0998*",="",="-0.1265***"
="",="",="(0.0529)",="",="(0.0298)"
="青海省 # date=2018",="",="-0.1138",="",="-0.1342***"
="",="",="(0.0837)",="",="(0.0506)"
="青海省 # date=2019",="",="-0.1688",="",="-0.2729*"
="",="",="(0.1414)",="",="(0.1567)"
="青海省 # date=2020",="",="-0.2340**",="",="0.0000"
="",="",="(0.0965)",="",="(.)"
="青海省 # date=2021",="",="-0.1430*",="",="-0.1324**"
="",="",="(0.0749)",="",="(0.0659)"
="青海省 # date=2022",="",="-0.1262**",="",="-0.0655"
="",="",="(0.0528)",="",="(0.0491)"
="青海省 # date=2023",="",="-0.1550**",="",="-0.1147"
="",="",="(0.0757)",="",="(0.0855)"
="黑龙江省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="黑龙江省 # date=2016",="",="0.0140",="",="0.0130"
="",="",="(0.0910)",="",="(0.0695)"
="黑龙江省 # date=2017",="",="0.0437",="",="0.1350*"
="",="",="(0.0717)",="",="(0.0754)"
="黑龙江省 # date=2018",="",="0.0231",="",="0.1653*"
="",="",="(0.0913)",="",="(0.0852)"
="黑龙江省 # date=2019",="",="-0.0935",="",="-0.0337"
="",="",="(0.0718)",="",="(0.0523)"
="黑龙江省 # date=2020",="",="-0.0664",="",="-0.0313"
="",="",="(0.0774)",="",="(0.0710)"
="黑龙江省 # date=2021",="",="-0.0511",="",="0.0694"
="",="",="(0.0720)",="",="(0.0710)"
="黑龙江省 # date=2022",="",="-0.2373*",="",="-0.0482"
="",="",="(0.1409)",="",="(0.0882)"
="黑龙江省 # date=2023",="",="-0.0305",="",="0.1297"
="",="",="(0.0954)",="",="(0.1411)"
="Boardsize",="",="",="-0.0305",="-0.0499"
="",="",="",="(0.0275)",="(0.0341)"
="size",="",="",="3.6744***",="3.6673***"
="",="",="",="(0.0534)",="(0.1262)"
="indp",="",="",="0.0708",="0.0143"
="",="",="",="(0.0783)",="(0.0892)"
="dual",="",="",="-0.0147*",="-0.0138"
="",="",="",="(0.0088)",="(0.0098)"
="salegr",="",="",="-0.0347***",="-0.0209**"
="",="",="",="(0.0085)",="(0.0089)"
="roa",="",="",="0.0181",="-0.0055"
="",="",="",="(0.0768)",="(0.0819)"
="tobinq",="",="",="0.0065**",="0.0028"
="",="",="",="(0.0033)",="(0.0043)"
="degree",="",="",="0.0180",="0.0000"
="",="",="",="(0.0112)",="(.)"
="Constant",="10.2189***",="10.1593***",="1.8613***",="2.0279***"
="",="(0.0124)",="(0.0067)",="(0.1273)",="(0.3002)"
="N",="11624",="11624",="9570",="9570"
="Adj-R2",="",="0.2375",="",="0.4253"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
