="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="",="(.)",="",="(.)"
="北京 # date=2016",="",="0.0205",="",="0.0086"
="",="",="(0.0294)",="",="(0.0325)"
="北京 # date=2017",="",="-0.0199",="",="-0.0653*"
="",="",="(0.0380)",="",="(0.0377)"
="北京 # date=2018",="",="0.0259",="",="-0.0061"
="",="",="(0.0364)",="",="(0.0373)"
="北京 # date=2019",="",="-0.0026",="",="-0.0390"
="",="",="(0.0382)",="",="(0.0404)"
="北京 # date=2020",="",="0.0501",="",="0.0016"
="",="",="(0.0404)",="",="(0.0425)"
="北京 # date=2021",="",="-0.0044",="",="-0.0456"
="",="",="(0.0451)",="",="(0.0487)"
="北京 # date=2022",="",="-0.0344",="",="-0.0575"
="",="",="(0.0448)",="",="(0.0462)"
="北京 # date=2023",="",="-0.0113",="",="-0.0453"
="",="",="(0.0459)",="",="(0.0497)"
="吉林省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="吉林省 # date=2016",="",="-0.0084",="",="0.0143"
="",="",="(0.0816)",="",="(0.0837)"
="吉林省 # date=2017",="",="-0.0596",="",="-0.0140"
="",="",="(0.0721)",="",="(0.0695)"
="吉林省 # date=2018",="",="0.0006",="",="0.0195"
="",="",="(0.0842)",="",="(0.0837)"
="吉林省 # date=2019",="",="-0.0195",="",="-0.0052"
="",="",="(0.0916)",="",="(0.0869)"
="吉林省 # date=2020",="",="-0.0332",="",="-0.0314"
="",="",="(0.1041)",="",="(0.0922)"
="吉林省 # date=2021",="",="-0.1221",="",="-0.1386"
="",="",="(0.1268)",="",="(0.1096)"
="吉林省 # date=2022",="",="-0.0987",="",="-0.0995"
="",="",="(0.1420)",="",="(0.1157)"
="吉林省 # date=2023",="",="-0.1609",="",="-0.1843*"
="",="",="(0.1273)",="",="(0.1060)"
="四川省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="四川省 # date=2016",="",="-0.0116",="",="-0.0230"
="",="",="(0.0483)",="",="(0.0512)"
="四川省 # date=2017",="",="0.0212",="",="0.0093"
="",="",="(0.0583)",="",="(0.0506)"
="四川省 # date=2018",="",="0.0833",="",="0.0551"
="",="",="(0.0616)",="",="(0.0655)"
="四川省 # date=2019",="",="0.0294",="",="-0.0116"
="",="",="(0.0675)",="",="(0.0722)"
="四川省 # date=2020",="",="0.0332",="",="-0.0110"
="",="",="(0.0621)",="",="(0.0680)"
="四川省 # date=2021",="",="0.0033",="",="-0.0612"
="",="",="(0.0661)",="",="(0.0713)"
="四川省 # date=2022",="",="0.0559",="",="-0.0402"
="",="",="(0.0705)",="",="(0.0701)"
="四川省 # date=2023",="",="0.0774",="",="-0.0165"
="",="",="(0.0742)",="",="(0.0739)"
="天津 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="天津 # date=2016",="",="0.0146",="",="-0.0190"
="",="",="(0.0624)",="",="(0.0468)"
="天津 # date=2017",="",="-0.0999*",="",="-0.1099"
="",="",="(0.0516)",="",="(0.0797)"
="天津 # date=2018",="",="-0.0203",="",="-0.0404"
="",="",="(0.0651)",="",="(0.0721)"
="天津 # date=2019",="",="-0.1222*",="",="-0.1005"
="",="",="(0.0715)",="",="(0.0612)"
="天津 # date=2020",="",="-0.0505",="",="-0.0078"
="",="",="(0.0697)",="",="(0.0844)"
="天津 # date=2021",="",="-0.1149",="",="0.0107"
="",="",="(0.0810)",="",="(0.0803)"
="天津 # date=2022",="",="-0.0988",="",="0.0151"
="",="",="(0.0735)",="",="(0.0685)"
="天津 # date=2023",="",="-0.1364",="",="0.0027"
="",="",="(0.0879)",="",="(0.0871)"
="宁夏回族自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="宁夏回族自治区 # date=2016",="",="-0.0405",="",="0.0658"
="",="",="(0.0464)",="",="(0.0678)"
="宁夏回族自治区 # date=2017",="",="-0.0462",="",="0.0104"
="",="",="(0.0524)",="",="(0.0667)"
="宁夏回族自治区 # date=2018",="",="-0.2758**",="",="-0.2400"
="",="",="(0.1146)",="",="(0.1984)"
="宁夏回族自治区 # date=2019",="",="-0.1731***",="",="-0.0672*"
="",="",="(0.0577)",="",="(0.0398)"
="宁夏回族自治区 # date=2020",="",="-0.2407***",="",="-0.1359"
="",="",="(0.0756)",="",="(0.0839)"
="宁夏回族自治区 # date=2021",="",="-0.1727",="",="-0.1206"
="",="",="(0.1130)",="",="(0.1540)"
="宁夏回族自治区 # date=2022",="",="-0.3187",="",="-0.5751***"
="",="",="(0.2064)",="",="(0.0704)"
="宁夏回族自治区 # date=2023",="",="-0.1798",="",="-0.2740"
="",="",="(0.2031)",="",="(0.1718)"
="安徽省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="安徽省 # date=2016",="",="-0.0024",="",="-0.0317"
="",="",="(0.0446)",="",="(0.0509)"
="安徽省 # date=2017",="",="-0.0699",="",="-0.0703"
="",="",="(0.0547)",="",="(0.0540)"
="安徽省 # date=2018",="",="-0.0038",="",="-0.0833"
="",="",="(0.0691)",="",="(0.0677)"
="安徽省 # date=2019",="",="0.0483",="",="-0.0267"
="",="",="(0.0623)",="",="(0.0569)"
="安徽省 # date=2020",="",="0.0531",="",="-0.0440"
="",="",="(0.0672)",="",="(0.0649)"
="安徽省 # date=2021",="",="0.0363",="",="-0.0966"
="",="",="(0.0728)",="",="(0.0732)"
="安徽省 # date=2022",="",="0.1299*",="",="-0.0357"
="",="",="(0.0760)",="",="(0.0676)"
="安徽省 # date=2023",="",="0.1013",="",="-0.0519"
="",="",="(0.0803)",="",="(0.0703)"
="山东省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山东省 # date=2016",="",="-0.0468",="",="-0.0343"
="",="",="(0.0299)",="",="(0.0332)"
="山东省 # date=2017",="",="-0.0010",="",="-0.0113"
="",="",="(0.0374)",="",="(0.0377)"
="山东省 # date=2018",="",="0.0303",="",="0.0091"
="",="",="(0.0370)",="",="(0.0382)"
="山东省 # date=2019",="",="0.0151",="",="-0.0019"
="",="",="(0.0397)",="",="(0.0438)"
="山东省 # date=2020",="",="0.0408",="",="0.0378"
="",="",="(0.0414)",="",="(0.0448)"
="山东省 # date=2021",="",="-0.0511",="",="-0.0514"
="",="",="(0.0491)",="",="(0.0516)"
="山东省 # date=2022",="",="-0.0279",="",="-0.0406"
="",="",="(0.0514)",="",="(0.0548)"
="山东省 # date=2023",="",="0.0229",="",="0.0162"
="",="",="(0.0455)",="",="(0.0489)"
="山西省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="山西省 # date=2016",="",="-0.0687",="",="-0.0602"
="",="",="(0.0790)",="",="(0.0780)"
="山西省 # date=2017",="",="0.0029",="",="-0.0328"
="",="",="(0.0557)",="",="(0.0614)"
="山西省 # date=2018",="",="0.0339",="",="-0.0743"
="",="",="(0.0539)",="",="(0.0720)"
="山西省 # date=2019",="",="-0.0538",="",="-0.1504**"
="",="",="(0.0700)",="",="(0.0761)"
="山西省 # date=2020",="",="-0.0112",="",="-0.0820"
="",="",="(0.0807)",="",="(0.1350)"
="山西省 # date=2021",="",="-0.0572",="",="-0.1609"
="",="",="(0.1006)",="",="(0.1400)"
="山西省 # date=2022",="",="0.0321",="",="-0.1449"
="",="",="(0.1042)",="",="(0.1301)"
="山西省 # date=2023",="",="0.0425",="",="-0.1374"
="",="",="(0.1012)",="",="(0.1995)"
="广东省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广东省 # date=2016",="",="-0.0142",="",="-0.0391"
="",="",="(0.0268)",="",="(0.0302)"
="广东省 # date=2017",="",="-0.0204",="",="-0.0774**"
="",="",="(0.0318)",="",="(0.0304)"
="广东省 # date=2018",="",="0.0410",="",="-0.0222"
="",="",="(0.0342)",="",="(0.0340)"
="广东省 # date=2019",="",="0.0190",="",="-0.0541"
="",="",="(0.0367)",="",="(0.0369)"
="广东省 # date=2020",="",="0.0296",="",="-0.0465"
="",="",="(0.0385)",="",="(0.0391)"
="广东省 # date=2021",="",="-0.0050",="",="-0.1147**"
="",="",="(0.0441)",="",="(0.0466)"
="广东省 # date=2022",="",="0.0362",="",="-0.0591"
="",="",="(0.0449)",="",="(0.0454)"
="广东省 # date=2023",="",="0.0605",="",="-0.0517"
="",="",="(0.0454)",="",="(0.0471)"
="广西壮族自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="广西壮族自治区 # date=2016",="",="-0.0117",="",="0.0576"
="",="",="(0.0577)",="",="(0.0625)"
="广西壮族自治区 # date=2017",="",="-0.0488",="",="0.0060"
="",="",="(0.0605)",="",="(0.0693)"
="广西壮族自治区 # date=2018",="",="-0.0643",="",="-0.0576"
="",="",="(0.0780)",="",="(0.0753)"
="广西壮族自治区 # date=2019",="",="-0.1253*",="",="-0.1040"
="",="",="(0.0664)",="",="(0.0700)"
="广西壮族自治区 # date=2020",="",="-0.1138",="",="-0.1052"
="",="",="(0.0924)",="",="(0.0897)"
="广西壮族自治区 # date=2021",="",="-0.1505*",="",="-0.1368*"
="",="",="(0.0904)",="",="(0.0823)"
="广西壮族自治区 # date=2022",="",="-0.1642*",="",="-0.1298"
="",="",="(0.0955)",="",="(0.0869)"
="广西壮族自治区 # date=2023",="",="-0.2413**",="",="-0.1911*"
="",="",="(0.1078)",="",="(0.1014)"
="新疆维吾尔自治区 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="新疆维吾尔自治区 # date=2016",="",="-0.0595",="",="-0.0000"
="",="",="(0.0476)",="",="(0.0479)"
="新疆维吾尔自治区 # date=2017",="",="-0.0205",="",="0.0325"
="",="",="(0.0621)",="",="(0.0643)"
="新疆维吾尔自治区 # date=2018",="",="-0.0373",="",="-0.0216"
="",="",="(0.0597)",="",="(0.0610)"
="新疆维吾尔自治区 # date=2019",="",="-0.0470",="",="-0.0402"
="",="",="(0.0819)",="",="(0.0544)"
="新疆维吾尔自治区 # date=2020",="",="-0.1536",="",="-0.1753"
="",="",="(0.1070)",="",="(0.1223)"
="新疆维吾尔自治区 # date=2021",="",="-0.2425*",="",="-0.3982**"
="",="",="(0.1249)",="",="(0.1643)"
="新疆维吾尔自治区 # date=2022",="",="-0.0897",="",="-0.1511**"
="",="",="(0.0784)",="",="(0.0761)"
="新疆维吾尔自治区 # date=2023",="",="-0.1227",="",="-0.2061***"
="",="",="(0.0973)",="",="(0.0716)"
="江苏省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江苏省 # date=2016",="",="0.0189",="",="0.0261"
="",="",="(0.0319)",="",="(0.0356)"
="江苏省 # date=2017",="",="0.0043",="",="-0.0142"
="",="",="(0.0372)",="",="(0.0341)"
="江苏省 # date=2018",="",="0.0419",="",="0.0007"
="",="",="(0.0375)",="",="(0.0370)"
="江苏省 # date=2019",="",="0.0553",="",="0.0111"
="",="",="(0.0396)",="",="(0.0404)"
="江苏省 # date=2020",="",="0.0506",="",="-0.0011"
="",="",="(0.0407)",="",="(0.0418)"
="江苏省 # date=2021",="",="-0.0308",="",="-0.0958**"
="",="",="(0.0444)",="",="(0.0474)"
